optname,opttype,offset,setting,optdesc,level,optstart,group
SET,char,1024.0,'!SASROOT/samples/hpstat'         '!SASROOT/samples/iml'         '!SASROOT/samples/inttech'         '!SASROOT/samples/or'         '!SASROOT/samples/postgres'         '!SASROOT/samples/qc'         '!SASROOT/samples/stat'         '!SASROOT/samples/tmine'         )] [SASHOME = /pbr/sfw/sas/940] [SAS_ODSG_CRENDER_PATH = /pbr/sfw/sas/940/SASODSGraphicsCRenderer/9.46] [DTJ_CLASSPATH = /pbr/sfw/sas/940/SASFoundation/9.4/misc/dmine/dtj.jar:/pbr/sfw/sas/940/SASPrivateJavaRuntimeEnvironment/9.4/jre/lib/rt.jar] [APFMTLIB = SASEnvironment/SASFormats],Defines an environment variable.,Host,anytime,ENVFILES
SETBUFFERPOOLS,char,0.0,,Configure buffer memory pools.,Host,startup,MEMORY
SETINIT,Boolean,0.0,NOSETINIT,Enables PROC SETINIT to update site licensing information in a non-windowing environment.,Portable,startup,INSTALL
SHARESESSIONCNTL,char,0.0,SERVER,Specifies whether the SAS/SHARE server has one or multiple connections to clients.,Portable,anytime,COMMUNICATIONS
SIGNONWAIT,Boolean,0.0,SIGNONWAIT,"Executes the SIGNON statement synchronously, signing on clients to the server one at a time.",Portable,anytime,COMMUNICATIONS
SIMFONT,char,,,Software font to use as simulated hardware font.,GRAPH,,
SKIP,num,0.0,0,Specifies the number of lines to skip at the top of each page of SAS output for the LISTING destination.,Portable,anytime,LISTCONTROL
SOLUTIONS,Boolean,0.0,SOLUTIONS,Displays the Solutions menu in SAS windows.,Portable,startup,ENVDISPLAY
SORTANOM,char,0.0,,Specifies options for the host sort utility.,Host,anytime,SORT
SORTCUT,num,0.0,0,Specifies the data size in number of observations above which SAS uses the host sort instead of the internal SAS sort.,Host,anytime,SORT
SORTCUTP,num,0.0,0,Specifies the data size in bytes above which SAS uses the host sort instead of the internal SAS sort.,Host,anytime,SORT
SORTDEV,char,0.0,,Specifies the pathname to temporary files that are created by the host sort utility.,Host,anytime,SORT
SORTDUP,char,0.0,PHYSICAL,Specifies whether PROC SORT removes duplicate variables based on the DROP and KEEP options or on all data set variables.,Portable,anytime,SORT
SORTEQUALS,Boolean,0.0,SORTEQUALS,PROC SORT maintains the relative position in the output data set for observations with identical BY-variable values.,Portable,anytime,SORT
SORTNAME,char,0.0,,Specifies the name of the host sort utility.,Host,anytime,SORT
SORTPARM,char,0.0,,Specifies the parameters for the host sort utility.,Host,anytime,SORT
SORTPGM,char,0.0,BEST,Specifies whether to use the SAS sort utility or the host sort utility or to let SAS choose the sort utility.,Host,anytime,SORT
SORTSEQ,char,0.0,,Specifies a language-specific collating sequence for the SORT and SQL procedures.,Portable,anytime,SORT
SORTSIZE,char,0.0,3221225472,Specifies the amount of memory that is available to the SORT procedure.,Portable,anytime,PERFORMANCE
SORTVALIDATE,Boolean,0.0,NOSORTVALIDATE,"When a user-specified sort order is set in the sort indicator, PROC SORT verifies whether a data set is sorted according to the variables in the BY statement.",Portable,anytime,SORT
SOURCE,Boolean,0.0,SOURCE,Writes program source statements to the SAS log.,Portable,anytime,LOGCONTROL
SOURCE2,Boolean,0.0,NOSOURCE2,Writes secondary source statements from included files to the SAS log.,Portable,anytime,LOGCONTROL
SPDEFILECACHE,Boolean,0.0,NOSPDEFILECACHE,Enables caching of opened SPD Engine files.,Portable,startup,PERFORMANCE
SPDEINDEXSORTSIZE,num,0.0,33554432,Specifies the memory size for sorting index values.,Portable,anytime,PERFORMANCE
SPDEMAXTHREADS,num,0.0,0,Specifies the maximum number of threads that the SPD Engine can spawn for I/O processing.,Portable,startup,PERFORMANCE
SPDEPARALLELREAD,char,0.0,NO,Enables or disables SPD Engine parallel reads when no WHERE clause is in effect.,Portable,anytime,PERFORMANCE
SPDESORTSIZE,num,0.0,33554432,Specifies the memory size that is used for sorting by the SPD Engine.,Portable,anytime,PERFORMANCE
SPDEUTILLOC,char,0.0,,Specifies one or more locations where the SPD Engine can temporarily store utility files.,Portable,startup,PERFORMANCE
SPDEWHEVAL,char,0.0,COST,Specifies the WHERE statement evaluation process for the SPD Engine.,Portable,anytime,PERFORMANCE
SPEED,num,,,Plotter Pen speed,GRAPH,,
SPOOL,Boolean,0.0,NOSPOOL,Writes SAS statements to a utility data set in the Work library for later use by a %%INCLUDE or %%LIST statement.,Portable,anytime,INPUTCONTROL
SQLCONSTDATETIME,Boolean,0.0,SQLCONSTDATETIME,"PROC SQL replaces references to the DATE, TIME, DATETIME, and TODAY functions with their equivalent constant values before a query executes.",Portable,anytime,SQL
SQLGENERATION,char,0.0,(NONE DBMS='TERADATA DB2 ORACLE NETEZZA ASTER GREENPLM HADOOP SAPHANA IMPALA HAWQ POSTGRES REDSHIFT SQLSVR VERTICA BIGQUERY SNOW YBRICK SPARK'),Specifies whether and when SAS procedures generate SQL for in-database processing of source data.,Portable,anytime,SQL
SQLIPONEATTEMPT,Boolean,0.0,NOSQLIPONEATTEMPT,Enable an SQL query to terminate when an implicit pass-through request fails.,Portable,anytime,SQL
SQLLDRPATH,char,0.0,,Path for Oracle bulkload.,Portable,startup,SECURITY
SQLMAPPUTTO,char,0.0,SAS_PUT,Specifies the PUT function mapping to SQL.,Portable,anytime,SQL
SQLREDUCEPUT,char,0.0,DBMS,"For PROC SQL, specifies the engine type to use to optimize a PUT function in a query.",Portable,anytime,SQL
SQLREDUCEPUTOBS,num,0.0,0,"For PROC SQL, specifies the minimum number of observations that must be in a table for PROC SQL to optimize the PUT function in a query.",Portable,anytime,SQL
SQLREDUCEPUTVALUES,num,0.0,0,"For PROC SQL, specifies the maximum number of SAS format values that can exist in a PUT function expression to optimize the PUT function in a query.",Portable,anytime,SQL
SQLREMERGE,Boolean,0.0,SQLREMERGE,PROC SQL processes queries that use remerged data.,Portable,anytime,SQL
SQLUNDOPOLICY,char,0.0,REQUIRED,Specifies how PROC SQL handles updated data if errors occur while you are updating data.,Portable,anytime,SQL
SSLCACERTDATA,char,0.0,,Specifies the CA certificate text string that is usually found in a CA certificate PEM file.,Host,anytime,COMMUNICATIONS
SSLCACERTDIR,char,0.0,,Specifies the directory for PEM format CA certificates used by OpenSSL. Each file has only one certificate and the file name must be the certificate hash value.,Host,anytime,COMMUNICATIONS
SSLCALISTLOC,char,0.0,/pbr/sfw/sas/940/SASSecurityCertificateFramework/1.1/cacerts/trustedcerts.pem,Specifies the location of digital certificates for trusted certification authorities (CA).,Host,anytime,COMMUNICATIONS
SSLCERTLOC,char,0.0,,Specifies the location of the digital certificate that is used for authentication.,Host,anytime,COMMUNICATIONS
SSLCIPHERLIST,char,0.0,,Specifies the list of ciphers. This option cannot be changed after TLS is loaded.,Host,anytime,COMMUNICATIONS
SSLCLIENTAUTH,Boolean,0.0,NOSSLCLIENTAUTH,Specifies that the server perform client authentication for a server connection.,Portable,anytime,COMMUNICATIONS
SSLCRLCHECK,Boolean,0.0,NOSSLCRLCHECK,Checks the Certificate Revocation List (CRL) when a digital certificate is validated.,Portable,anytime,COMMUNICATIONS
SSLCRLLOC,char,0.0,,Specifies the location of the Certificate Revocation List (CRL).,Host,anytime,COMMUNICATIONS
SSLMINPROTOCOL,char,0.0,,Specifies the minimum TLS or SSL protocol that can be negotiated when using OpenSSL.,Portable,anytime,COMMUNICATIONS
SSLMODE,char,0.0,,Specifies the TLS version and the cipher suites for SSL.,Portable,anytime,COMMUNICATIONS
SSLPKCS12LOC,char,0.0,,Specifies the location of the PKCS #12 DER encoding package file.,Host,anytime,COMMUNICATIONS
SSLPKCS12PASS,char,0.0,xxxxxxxx,Specifies the password that SSL requires for decrypting the private key of the PKCS #12 DER encoding package file.,Host,anytime,COMMUNICATIONS
SSLPVTKEYLOC,char,0.0,,Specifies the location of the private key that corresponds to the digital certificate.,Host,anytime,COMMUNICATIONS
SSLPVTKEYPASS,char,0.0,xxxxxxxx,Specifies the password that SSL requires for decrypting the private key.,Host,anytime,COMMUNICATIONS
SSLSNIHOSTNAME,char,0.0,,"Specifies the host name that is used for the Server Name Indication TLS extension. If it is not specified, the target host name is used.",Host,anytime,COMMUNICATIONS
SSPI,Boolean,0.0,NOSSPI,Uses the Security Support Provider Interface for single sign-on connections to IOM servers.,Portable,startup,SECURITY
STARTLIB,Boolean,0.0,NOSTARTLIB,Assigns user-defined permanent librefs when SAS starts.,Portable,startup,EXTFILES
STDIO,Boolean,0.0,NOSTDIO,"SAS uses the standard streams stdin, stdout, and stderr.",Host,startup,INPUTCONTROL
STEPCHKPT,Boolean,0.0,NOSTEPCHKPT,Enables recording of checkpoint-restart data for DATA and PROC steps for batch programs.,Portable,startup,ERRORHANDLING
STEPCHKPTLIB,char,0.0,WORK,Specifies the libref of the library where checkpoint-restart data for DATA and PROC steps is saved.,Portable,startup,ERRORHANDLING
STEPRESTART,Boolean,0.0,NOSTEPRESTART,Enables restart mode which executes batch programs using checkpoint-restart data collected for DATA and PROC steps in a prior execution.,Portable,startup,ERRORHANDLING
STIMEFMT,char,0.0,(NLDATM2. HMS TIMEAMPM KB MEMFULL TSFULL NC),"Specifies the format that is used to display the FULLSTIMER and STIMER output for timestamp, memory, CPU and elapsed time statistics.",Host,anytime,LOGCONTROL
STIMER,Boolean,0.0,STIMER,Writes real and CPU time to the SAS log.,Host,anytime,LOGCONTROL
STRIPESIZE,char,0.0,,Specifies path and size pairs to identify I/O device stripe size.  Stripe size indicates page size when creating a data set or utility file.,Portable,anytime,TK
SUMSIZE,num,0.0,0,Specifies a limit on the amount of memory that is available for data summarization procedures when class variables are active.,Portable,anytime,MEMORY
SVGAUTOPLAY,Boolean,0.0,SVGAUTOPLAY,Starts animation when the page is loaded in the browser.,Portable,anytime,ANIMATION
SVGCONTROLBUTTONS,Boolean,0.0,NOSVGCONTROLBUTTONS,Displays the paging control buttons and an index in a multipage SVG document.,Portable,anytime,SVG
SVGFADEIN,char,0.0,0,Specifies the number of seconds for the fade-in effect for a graph.,Portable,anytime,ANIMATION
SVGFADEMODE,char,0.0,OVERLAP,Specifies whether to use sequential frames or to overlap frames for the fade-in effect of a graph.,Portable,anytime,ANIMATION
SVGFADEOUT,char,0.0,0,Specifies the number of seconds for a graph to fade out of view.,Portable,anytime,ANIMATION
SVGHEIGHT,char,0.0,,Specifies the height of the viewport. Specifies the value of the height attribute of the outermost SVG element.,Portable,anytime,SVG
SVGMAGNIFYBUTTON,Boolean,0.0,NOSVGMAGNIFYBUTTON,Enables the SVG magnifier tool.,Portable,anytime,SVG
SVGPRESERVEASPECTRATIO,char,0.0,,Specifies whether to force uniform scaling of SVG output. Specifies the preserveAspectRatio attribute on the outermost SVG element.,Portable,anytime,SVG
SVGTITLE,char,0.0,svgtitle,Specifies the text in the title bar of the SVG output. Specifies the value of the TITLE element in the SVG file.,Portable,anytime,SVG
SVGVIEWBOX,char,0.0,,"Specifies the coordinates, width, and height that are used to set the viewBox attribute on the outermost SVG element.",Portable,anytime,SVG
SVGWIDTH,char,0.0,,Specifies the width of the viewport. Specifies the value of the width attribute of the outermost SVG element.,Portable,anytime,SVG
SVGX,char,0.0,,Specifies the x-axis coordinate of one corner of the rectangular region for an embedded SVG element. Specifies the x attribute in the outermost SVG element.,Portable,anytime,SVG
SVGY,char,0.0,,Specifies the y-axis coordinate of one corner of the rectangular region for an embedded SVG element. Specifies the y attribute in the outermost SVG element.,Portable,anytime,SVG
SWAP,Boolean,,NOSWAP,Substitute BLACK for WHITE,GRAPH,,
SWFONTRENDER,char,,DEFAULT,Control software font rendering,GRAPH,,
SYMBOL,Boolean,,SYMBOL,Use hardware symbol generator,GRAPH,,
SYMBOLGEN,Boolean,0.0,NOSYMBOLGEN,Displays the results of resolving macro variable references in the SAS log.,Portable,anytime,MACRO
SYNCHIO,Boolean,0.0,SYNCHIO,Requires that data set I/O must be completed before other logical SAS tasks can be executed.,Portable,startup,SASFILES
SYNCHRONOUS,Boolean,0.0,NOSYNCHRONOUS,Enable synchronous behavior.,Host,startup,ENVDISPLAY
SYNTAXCHECK,Boolean,0.0,NOSYNTAXCHECK,Enables syntax check mode for multiple steps in non-interactive or batch SAS sessions.,Portable,anytime,ERRORHANDLING
SYSIN,char,0.0,,Specifies the SAS program to execute in batch.,Host,startup,ENVFILES
SYSPARM,char,0.0,,Specifies a character string that can be passed to SAS programs.,Portable,anytime,ENVFILES
SYSPRINT,char,0.0,,Specifies the destination for printed output.,Host,anytime,ODSPRINT
SYSPRINTFONT,char,0.0,,Specifies the default font to use for printing.,Portable,anytime,LISTCONTROL
SYSRPUTSYNC,Boolean,0.0,NOSYSRPUTSYNC,Sets the %%SYSRPUT macro variables in the client session when the %%SYSRPUT statements are executed.,Portable,anytime,COMMUNICATIONS
TAPECLOSE,char,0.0,REREAD,CLOSE disposition for a library on tape.,Host,anytime,SASFILES
TARGETDEVICE,char,,,Intended hard copy device,GRAPH,,
TBUFSIZE,num,0.0,0,Specifies the size of the buffer that is used by SAS applications to transfer client/server data across a network.,Portable,anytime,COMMUNICATIONS
TCPLISTENTIME,num,0.0,300,Specifies the amount of time that a SAS/CONNECT server listens for a client to connect before terminating the CONNECT server session.,Portable,anytime,COMMUNICATIONS
TCPPORTFIRST,num,0.0,0,Specifies the first value in a range of TCP/IP ports for a client to use to connect to a server.,Portable,anytime,COMMUNICATIONS
TCPPORTLAST,num,0.0,0,Specifies the last value in a range of TCP/IP ports for a client to use to connect to a server.,Portable,anytime,COMMUNICATIONS
TENANTID,char,0.0,,Specifies a name that identifies a tenant in a multi-tenant environment.,Portable,anytime,EXECMODES
TERMINAL,Boolean,0.0,NOTERMINAL,Associates a terminal with a SAS session.,Portable,startup,EXECMODES
TERMSTMT,char,0.0,,Specifies the SAS statement to execute when SAS terminates.,Portable,startup,EXECMODES
TEXTURELOC,char,0.0,!SASROOT/misc/textures,Specifies the location of textures and images that are used by ODS styles.,Portable,anytime,ODSPRINT
THREADS,Boolean,0.0,THREADS,Uses threaded processing for SAS applications that support it.,Portable,anytime,PERFORMANCE
TIMEZONE,char,0.0,,Specifies a time zone.,Portable,anytime,LANGUAGECONTROL
TITLE,char,0.0,,Title passed to Window Manager.,Host,startup,ENVDISPLAY
TOOLSMENU,Boolean,0.0,TOOLSMENU,Displays the Tools menu in SAS windows.,Portable,startup,ENVDISPLAY
TOPMARGIN,char,0.0,0.000 IN,Specifies the print margin at the top of the page.,Portable,anytime,ODSPRINT
TRAINLOC,char,0.0,,Specifies the URL for SAS online training courses.,Portable,startup,ENVFILES
TRANSPARENCY,Boolean,,NOTRANSPARENCY,Image background transparency,GRAPH,,
TRANTAB,char,,,Terminal translate table,GRAPH,,
TRANTAB,char,0.0,,Specifies the translation table catalog entries.,Portable,anytime,LANGUAGECONTROL
TSID,char,0.0,,Specifies a logical server metadata object that identifies a table service definition.,Portable,anytime,SASFILES
UBUFNO,num,0.0,10,Specifies the number of utility file buffers.,Portable,anytime,PERFORMANCE
UBUFSIZE,num,0.0,131072,Specifies the size of utility file buffers.,Portable,anytime,PERFORMANCE
UCC,char,,,Driver specific option flags,GRAPH,,
UNIVERSALPRINT,Boolean,0.0,UNIVERSALPRINT,Enables the Universal Printing windows to display and sets up default values for printing.,Portable,startup,ODSPRINT
UPRINTCOMPRESSION,Boolean,0.0,UPRINTCOMPRESSION,Enables compression of files that are created by some Universal Printers and SAS/GRAPH devices.,Portable,anytime,ODSPRINT
URLENCODING,char,0.0,SESSION,Specifies whether the argument to the URLENCODE function and to the URLDECODE function is interpreted using the SAS session encoding or UTF-8 encoding.,Portable,anytime,LANGUAGECONTROL
USER,char,0.0,,Specifies the default permanent library to use for one-level SAS data set names.,Portable,anytime,ENVFILES
USERCONFIG,Boolean,0.0,USERCONFIG,Process .sasv9.cfg and sasv9.cfg configuration files in user's home directory.,Host,startup,ENVFILES
USERINPUT,Boolean,,NOUSERINPUT,Enable user input for image animation,GRAPH,,
UTILLOC,char,0.0,WORK,Specifies one or more file system locations in which threaded applications can store utility files.,Portable,startup,PERFORMANCE
UUIDCOUNT,num,0.0,100,Specifies the number of UUIDs to acquire from the UUID Generator Daemon.,Portable,anytime,ENVFILES
UUIDGENDHOST,char,0.0,,"Specifies the host and port, or the LDAP URL that the UUID Generator Daemon runs on.",Portable,startup,ENVFILES
V5COMP,Boolean,,NOV5COMP,Selects maximum version 5 compatibility,GRAPH,,
V6COMP,Boolean,,NOV6COMP,Selects maximum version 6 compatibility,GRAPH,,
V6CREATEUPDATE,char,0.0,NOTE,Specifies the type of message to write to the SAS log when Version 6 data sets are created or updated.,Portable,startup,SASFILES
VALIDFMTNAME,char,0.0,LONG,Specifies the maximum size that user-created formats and informat names can be before an error or warning is issued.,Portable,anytime,SASFILES
VALIDMEMNAME,char,0.0,EXTEND,"Specifies the rules for naming SAS data sets, SAS data views, and item stores.",Portable,anytime,SASFILES
VALIDVARNAME,char,0.0,ANY,Specifies the rules for valid SAS variable names that can be created and processed during a SAS session.,Portable,anytime,SASFILES
VARINITCHK,char,0.0,NOTE,Specifies the type of message to write to the SAS log when a variable is not initialized.,Portable,anytime,SASFILES
VARLENCHK,char,0.0,WARN,Specifies the type of message to write to the SAS log when the length of the variable that is being read is longer than the length that is defined for the varia,Portable,anytime,SASFILES
VBUFSIZE,num,0.0,65536,Specifies the buffer size for a view.,Portable,anytime,PERFORMANCE
VERBOSE,Boolean,0.0,NOVERBOSE,Writes start-up system options to the SAS log.,Host,startup,LOGCONTROL
VIEWMENU,Boolean,0.0,VIEWMENU,Displays the View menu in SAS windows.,Portable,startup,ENVDISPLAY
VNFERR,Boolean,0.0,VNFERR,SAS issues an error message when a BY variable exists in one data set but not another when the other data set is _NULL_.,Portable,anytime,ERRORHANDLING
VORIGIN,num,,,Vertical offset to graph origin,GRAPH,,
VPOS,num,,,Character cells per column,GRAPH,,
VSIZE,num,,,Vertical plot size in inches,GRAPH,,
WORK,char,0.0,/saswork/SAS_work9422000102FB_odaws01-apse1.oda.sas.com/SAS_workD035000102FB_odaws01-apse1.oda.sas.com,Specifies the libref or location of the Work library.,Portable,startup,PERFORMANCE
WORK,char,0.0,/saswork/SAS_work9422000102FB_odaws01-apse1.oda.sas.com/SAS_workD035000102FB_odaws01-apse1.oda.sas.com,Specifies the location of the Work library.,Host,startup,ENVFILES
WORKINIT,Boolean,0.0,WORKINIT,"At SAS invocation, erases files that exist from a previous SAS session in an existing Work library.",Portable,startup,ENVFILES
WORKPERMS,char,0.0,700,Sets the permissions of the SAS Work library when it is initially created.,Host,startup,ENVFILES
WORKTERM,Boolean,0.0,WORKTERM,Erases the Work files when SAS terminates.,Portable,anytime,ENVFILES
XCMD,Boolean,0.0,NOXCMD,Enables the X command in SAS.,Host,startup,ENVDISPLAY
XMAX,num,,,Maximum horizontal plot size in inches,GRAPH,,
XNLLANGUAGE,char,0.0,,Application National Language.,Host,startup,ENVDISPLAY
XPIXELS,num,,,Maximum number of horizontal pixels,GRAPH,,
XRM,char,0.0,SAS.helpBrowser:/usr/bin/firefox,Application Resource.,Host,startup,ENVDISPLAY
XTSESSIONID,char,0.0,,ID used to Communicate with SM.,Host,startup,ENVDISPLAY
YEARCUTOFF,num,0.0,1940,Specifies the first year of a 100-year span that is used by date informats and functions to read a two-digit year.,Portable,anytime,INPUTCONTROL
YMAX,num,,,Maximum vertical plot size in inches,GRAPH,,
YPIXELS,num,,,Maximum number of vertical pixels,GRAPH,,
_LAST_,char,0.0,WORK._N_U_L_L_,Specifies the most recently created data set.,Portable,anytime,SASFILES
