optname,opttype,offset,setting,optdesc,level,optstart,group
SET,char,0.0,[SASROOT = /pbr/sfw/sas/940/SASFoundation/9.4] [SASAUTOS = (                  '!SASROOT/sasautos'         )] [SAMPSRC = (                  '!SASROOT/samples/accesssample'         '!SASROOT/samples/base'         '!SASROOT/samples/connect'         '!SASROOT/samples/dbi'         '!SASROOT/samples/dmine'         '!SASROOT/samples/ets'         '!SASROOT/samples/graph'         '!SASROOT/samples/hpf'         '!SASROOT/samples/hps'         '!SASROOT/samples/hpstat'         '!SASROOT/samples/iml'         '!SASROOT/samples/inttech'         '!SASROOT/samples/or'         '!SASROOT/samples/postgres'         '!SASROOT/samples/qc'         '!SASROOT/samples/stat'         '!SASROOT/samples/tmine'         )] [SAMPSIO = (                  '!SASROOT/samples/accesssample'         '!SASROOT/samples/base'         '!SASROOT/samples/connect'         '!SASROOT/samples/dbi'         '!SASROOT/samples/dmine'         '!SASROOT/samples/ets'         '!SASROOT/samples/graph'         '!SASROOT/samples/hpf'         '!SASROOT/samples/hps',Defines an environment variable.,Host,anytime,ENVFILES
SET,char,1024.0,'!SASROOT/samples/hpstat'         '!SASROOT/samples/iml'         '!SASROOT/samples/inttech'         '!SASROOT/samples/or'         '!SASROOT/samples/postgres'         '!SASROOT/samples/qc'         '!SASROOT/samples/stat'         '!SASROOT/samples/tmine'         )] [SASHOME = /pbr/sfw/sas/940] [SAS_ODSG_CRENDER_PATH = /pbr/sfw/sas/940/SASODSGraphicsCRenderer/9.46] [DTJ_CLASSPATH = /pbr/sfw/sas/940/SASFoundation/9.4/misc/dmine/dtj.jar:/pbr/sfw/sas/940/SASPrivateJavaRuntimeEnvironment/9.4/jre/lib/rt.jar] [APFMTLIB = SASEnvironment/SASFormats],Defines an environment variable.,Host,anytime,ENVFILES
SORTANOM,char,0.0,,Specifies options for the host sort utility.,Host,anytime,SORT
SORTCUT,num,0.0,0,Specifies the data size in number of observations above which SAS uses the host sort instead of the internal SAS sort.,Host,anytime,SORT
SORTCUTP,num,0.0,0,Specifies the data size in bytes above which SAS uses the host sort instead of the internal SAS sort.,Host,anytime,SORT
SORTDEV,char,0.0,,Specifies the pathname to temporary files that are created by the host sort utility.,Host,anytime,SORT
SORTNAME,char,0.0,,Specifies the name of the host sort utility.,Host,anytime,SORT
SORTPARM,char,0.0,,Specifies the parameters for the host sort utility.,Host,anytime,SORT
SORTPGM,char,0.0,BEST,Specifies whether to use the SAS sort utility or the host sort utility or to let SAS choose the sort utility.,Host,anytime,SORT
SSLCACERTDATA,char,0.0,,Specifies the CA certificate text string that is usually found in a CA certificate PEM file.,Host,anytime,COMMUNICATIONS
SSLCACERTDIR,char,0.0,,Specifies the directory for PEM format CA certificates used by OpenSSL. Each file has only one certificate and the file name must be the certificate hash value.,Host,anytime,COMMUNICATIONS
SSLCALISTLOC,char,0.0,/pbr/sfw/sas/940/SASSecurityCertificateFramework/1.1/cacerts/trustedcerts.pem,Specifies the location of digital certificates for trusted certification authorities (CA).,Host,anytime,COMMUNICATIONS
SSLCERTLOC,char,0.0,,Specifies the location of the digital certificate that is used for authentication.,Host,anytime,COMMUNICATIONS
SSLCIPHERLIST,char,0.0,,Specifies the list of ciphers. This option cannot be changed after TLS is loaded.,Host,anytime,COMMUNICATIONS
SSLCRLLOC,char,0.0,,Specifies the location of the Certificate Revocation List (CRL).,Host,anytime,COMMUNICATIONS
SSLPKCS12LOC,char,0.0,,Specifies the location of the PKCS #12 DER encoding package file.,Host,anytime,COMMUNICATIONS
SSLPKCS12PASS,char,0.0,xxxxxxxx,Specifies the password that SSL requires for decrypting the private key of the PKCS #12 DER encoding package file.,Host,anytime,COMMUNICATIONS
SSLPVTKEYLOC,char,0.0,,Specifies the location of the private key that corresponds to the digital certificate.,Host,anytime,COMMUNICATIONS
SSLPVTKEYPASS,char,0.0,xxxxxxxx,Specifies the password that SSL requires for decrypting the private key.,Host,anytime,COMMUNICATIONS
SSLSNIHOSTNAME,char,0.0,,"Specifies the host name that is used for the Server Name Indication TLS extension. If it is not specified, the target host name is used.",Host,anytime,COMMUNICATIONS
STDIO,Boolean,0.0,NOSTDIO,"SAS uses the standard streams stdin, stdout, and stderr.",Host,startup,INPUTCONTROL
SYNCHRONOUS,Boolean,0.0,NOSYNCHRONOUS,Enable synchronous behavior.,Host,startup,ENVDISPLAY
SYSPRINT,char,0.0,,Specifies the destination for printed output.,Host,anytime,ODSPRINT
TAPECLOSE,char,0.0,REREAD,CLOSE disposition for a library on tape.,Host,anytime,SASFILES
TITLE,char,0.0,,Title passed to Window Manager.,Host,startup,ENVDISPLAY
WORK,char,0.0,/saswork/SAS_work9422000102FB_odaws01-apse1.oda.sas.com/SAS_workD035000102FB_odaws01-apse1.oda.sas.com,Specifies the location of the Work library.,Host,startup,ENVFILES
WORKPERMS,char,0.0,700,Sets the permissions of the SAS Work library when it is initially created.,Host,startup,ENVFILES
XNLLANGUAGE,char,0.0,,Application National Language.,Host,startup,ENVDISPLAY
XRM,char,0.0,SAS.helpBrowser:/usr/bin/firefox,Application Resource.,Host,startup,ENVDISPLAY
XTSESSIONID,char,0.0,,ID used to Communicate with SM.,Host,startup,ENVDISPLAY
ABORT,char,0.0,,Specification of what to do when a severe error occurs.,Host,anytime,ERRORHANDLING
ALIGNSASIOFILES,Boolean,0.0,ALIGNSASIOFILES,Aligns SAS files on a page boundary for improved performance.,Host,startup,PERFORMANCE
ALTLOG,char,0.0,,Specifies the location for a copy of the SAS log when SAS is running in batch mode.,Host,startup,ENVFILES
ALTPRINT,char,0.0,,Specifies the location for a copy of the SAS procedure output when SAS is running in batch mode.,Host,startup,ENVFILES
AUTHPROVIDERDOMAIN,char,0.0,,Specifies the authentication provider that is associated with a domain.,Host,startup,EXECMODES
DL,char,0.0,,Download file before SAS starts.,Host,anytime,COMMUNICATIONS
ENCODING,char,0.0,UTF-8,Specifies the default character-set encoding for the SAS session.,Host,startup,LANGUAGECONTROL
FILELOCKWAIT,num,0.0,0,Specifies the number of seconds that SAS will wait for a locked file.,Host,startup,SASFILES
FULLSTIMER,Boolean,0.0,FULLSTIMER,Writes all available performance statistics to the SAS log.,Host,anytime,LOGCONTROL
HELPLOC,char,0.0,( '!SASROOT/X11/native_help' '!SASROOT/X11/native_help'         '!SASUSER/classdoc' ),Specifies the location of the text and index files for the facility that is used to view the online SAS Help and Documentation.,Host,startup,HELP
IMGHOST,char,0.0,,Set image server hostname.,Host,anytime,COMMUNICATIONS
IMGLOG,Boolean,0.0,NOIMGLOG,Print to the log when a file is updated by the image server.,Host,anytime,COMMUNICATIONS
IMGPORT,num,0.0,0,Port number for SAS to connect to the image server.,Host,anytime,COMMUNICATIONS
IMGSRV,Boolean,0.0,NOIMGSRV,Turn on image server so SAS files can be dynamically downloaded.,Host,anytime,COMMUNICATIONS
JREOPTIONS,char,0.0,(           -DPFS_TEMPLATE=/pbr/sfw/sas/940/SASFoundation/9.4/misc/tkjava/qrpfstpt.xml         -Djava.class.path=/pbr/sfw/sas/940/SASVersionedJarRepository/eclipse/plugins/sas.launcher.jar         -Djava.security.auth.login.config=/pbr/sfw/sas/940/SASFoundation/9.4/misc/tkjava/sas.login.config         -Djava.security.policy=/pbr/sfw/sas/940/SASFoundation/9.4/misc/tkjava/sas.policy         -Djava.system.class.loader=com.sas.app.AppClassLoader         -Dlog4j.configuration=file:/pbr/sfw/sas/940/SASFoundation/9.4/misc/tkjava/sas.log4j.properties         -Dsas.app.class.path=/pbr/sfw/sas/940/SASVersionedJarRepository/eclipse/plugins/tkjava.jar         -Dsas.ext.config=/pbr/sfw/sas/940/SASFoundation/9.4/misc/tkjava/sas.java.ext.config         -Dtkj.app.launch.config=/pbr/sfw/sas/940/SASVersionedJarRepository/picklist               -XX:-UserPerfData     -Xss2m     -Xms512m     -Xmx4096m     -Djava.awt.headless=true  ),Specifies the Java Runtime Environment options for SAS.,Host,startup,EXECMODES
LOADMEMSIZE,num,0.0,0,Specifies a suggested amount of memory that is needed for executable programs loaded by SAS.,Host,startup,MEMORY
LOCALE,char,0.0,EN_IN,"Specifies a set of attributes in a SAS session that reflect the language, local conventions, and culture for a geographical region.",Host,anytime,LANGUAGECONTROL
LOG,char,0.0,,Specifies a location for the SAS log when SAS is running in batch mode.,Host,startup,ENVFILES
MEMSIZE,num,0.0,4294967296,Specifies the limit on the amount of virtual memory that can be used during a SAS session.,Host,startup,PERFORMANCE
MSG,char,0.0,!SASROOT/sasmsg,Specifies the path to the library that contains SAS messages.,Host,startup,ENVFILES
MSGCASE,Boolean,0.0,NOMSGCASE,"Specifies that SAS writes notes, warnings, and error messages in uppercase letters.",Host,startup,LOGCONTROL
NLSCOMPATMODE,Boolean,0.0,NONLSCOMPATMODE,Ensures language compatibility with previous releases of SAS.,Host,startup,LANGUAGECONTROL
OPLIST,Boolean,0.0,NOOPLIST,Writes the settings of SAS system options to the SAS log.,Host,startup,LOGCONTROL
PRINT,char,0.0,,Specifies a location for SAS output when running in batch mode.,Host,startup,ENVFILES
REALMEMSIZE,num,0.0,0,Specifies the amount of real memory SAS can expect to allocate.,Host,startup,MEMORY
REPL,char,0.0,,Specify the src and dest for files handled by the image server.,Host,anytime,COMMUNICATIONS
SASHOST,char,0.0,,Specify path of sashost dll to be loaded.,Host,startup,ENVFILES
SETBUFFERPOOLS,char,0.0,,Configure buffer memory pools.,Host,startup,MEMORY
STIMEFMT,char,0.0,(NLDATM2. HMS TIMEAMPM KB MEMFULL TSFULL NC),"Specifies the format that is used to display the FULLSTIMER and STIMER output for timestamp, memory, CPU and elapsed time statistics.",Host,anytime,LOGCONTROL
STIMER,Boolean,0.0,STIMER,Writes real and CPU time to the SAS log.,Host,anytime,LOGCONTROL
SYSIN,char,0.0,,Specifies the SAS program to execute in batch.,Host,startup,ENVFILES
USERCONFIG,Boolean,0.0,USERCONFIG,Process .sasv9.cfg and sasv9.cfg configuration files in user's home directory.,Host,startup,ENVFILES
VERBOSE,Boolean,0.0,NOVERBOSE,Writes start-up system options to the SAS log.,Host,startup,LOGCONTROL
XCMD,Boolean,0.0,NOXCMD,Enables the X command in SAS.,Host,startup,ENVDISPLAY
